arm,seed,event_idx,z_true,host_galaxy_index,in_catalog,host_draw_mode,s_tilde_phi_host,SNR,candidate_count_no_bh,candidate_count_with_bh,h_fiducial_used,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,combined_no_bh,combined_with_bh,impostor_share_proxy_no_bh
bc,900101,13,0.2056007584770926,8021769.0,True,catalogue_selected,0.7318590054559778,122.19849211982591,23,6,0.73,0.0117587581873857,0.000350535422238,2307650.6826208658,457209.28189674666,0.1981276,0.0043401649200357,0.000504472173275,
bc,900101,14,0.2227159025413963,9931818.0,True,catalogue_selected,0.611598780389282,37.433663811414256,1124,238,0.73,0.1063477429412872,0.0011646070252363,17161966.77707161,2904776.313514958,0.1692566,0.0353371081399407,0.0031392143534388,
bc,900101,15,0.0834229255621479,19357878.0,True,catalogue_selected,0.9271008951540268,276.148343063909,8,8,0.73,0.0450671971636855,0.0284100837419125,180711.8577547188,19940.43474863478,0.1103438,0.0074866412886993,0.0017815375227486,
bc,900101,17,0.3166972100297248,8045262.0,True,catalogue_selected,0.6183361686523247,27.17882033382198,1598,73,0.73,0.0320931514714032,9.645220332451066e-07,27735578.78174568,8220848.247741855,0.2964008,0.0344804788892365,0.0086801535132786,
bc,900101,21,0.12363349708051,7228408.0,True,catalogue_selected,0.9029045832450154,299.25833132273544,13,10,0.73,0.1001042204122098,0.0301582352722523,967862.9201704632,136321.4761528362,0.1408479,0.0172275938887279,0.0020127474465746,
bc,900101,22,0.1527639221530482,13252529.0,True,catalogue_selected,0.7946914014486115,309.9688163411626,596,385,0.73,0.0509756792251842,0.0158756585738025,3213017.201912828,274464.6115895084,0.0854227,0.0116448536699883,0.0012735615825017,
bc,900101,23,0.1206833969926503,16967752.0,True,catalogue_selected,0.9511744676052784,51.23570475840657,6447,3788,0.73,0.0562459496445014,0.0137377236008978,1269313.4703377574,171454.61601932332,0.1350767,0.01044576086007,0.0010323160095051,
bc,900101,24,0.2342874028626522,18060584.0,True,catalogue_selected,0.65591258736884,91.69452141764684,1348,234,0.73,0.1244667658540039,0.0009444842218068,16341401.724076029,2995506.9490233515,0.1833078,0.0374039541363844,0.0032213732065758,
bc,900101,25,0.2930953677889049,16222830.0,True,catalogue_selected,0.5714107736199736,28.197096848827428,644,124,0.73,0.0342196211591743,5.1296104252349386e-05,26181508.609786253,5271549.175398404,0.2013463,0.0331838426189786,0.0055692151107571,
bc,900101,29,0.2034119258851567,13878630.0,True,catalogue_selected,0.788701784954627,589.8166147157915,26,7,0.73,0.1471965098171413,0.0057565187092431,11527965.017742712,2025893.043742662,0.1757373,0.0360012926067792,0.0024957798347624,
bc,900101,30,0.2700978308641988,4374164.0,True,catalogue_selected,0.6591643697321612,22.471681036801712,22250,3610,0.73,0.0556490505453446,0.0001020152658125,11067648.618741397,2797597.3764824728,0.2527725,0.0206948347262149,0.0029602025692963,
bc,900101,34,0.1649920502240154,9847087.0,True,catalogue_selected,0.8563354757444537,406.7105275653722,4,2,0.73,0.1615626414922855,0.0226038506343728,3869529.927437272,600755.6492154603,0.1552529,0.0302407333874513,0.0020350051934878,
bc,900101,36,0.3208770848381517,16028685.0,True,catalogue_selected,0.5479281027199941,27.9127610375079,11097,2058,0.73,0.0251987030752161,5.5141491584672944e-05,18387568.33544363,3656449.938408195,0.1988545,0.0234941278789901,0.0038641290363328,
bc,900101,37,0.1655045351861467,9643684.0,True,catalogue_selected,0.8376508726790332,112.76986331146492,494,241,0.73,0.0444265974402104,0.0043926567835593,2512464.7236170764,321677.9625921693,0.1280328,0.0098449487222265,0.0006118470899366,
bc,900101,38,0.1864500852077379,14102738.0,True,catalogue_selected,0.8568427191563771,485.945860890477,4,2,0.73,0.1184130805735436,0.0112330991685832,1911322.681094298,315790.6505128485,0.165221,0.0211877416844353,0.0010295114982986,
bc,900101,40,0.1917489682737859,12538079.0,True,catalogue_selected,0.8553075801192521,60.17458900837416,3710,1739,0.73,0.0891760640976848,0.0060403365713357,9021363.929991543,1238366.8274352727,0.1372705,0.0239618554353881,0.0016818469305215,
bc,900101,42,0.2650193934333896,1869290.0,True,catalogue_selected,0.7490779485206676,26.024497205416377,1442,261,0.73,0.06998666621013,0.0001948169008589,15629800.132539026,3630464.314998815,0.2322784,0.0278329306632094,0.0038453470084978,
bc,900101,43,0.0947822977069215,9128213.0,True,catalogue_selected,0.8970124616527418,46.53492987019028,1488,948,0.73,0.0189970278238758,0.0067094032292101,314577.31284437474,37556.06362898765,0.1193858,0.0034075397848712,0.0004554146012871,
bc,900101,45,0.1888557169434301,9463525.0,True,catalogue_selected,0.7927036782722607,32.692422632788684,2061,637,0.73,0.0450673993584651,0.0024816935010192,2570831.250086335,424438.7403127466,0.1650979,0.0100103138896074,0.0006019320880288,
bc,900101,47,0.0786307752579717,5597014.0,True,catalogue_selected,0.8834436385910146,128.75812784012476,5,2,0.73,0.0128309697049707,0.0029833232167062,104979.68200410958,12940.5904246011,0.1232676,0.0021880230488079,0.0001985306130718,
bc,900101,51,0.0951546185468806,6521323.0,True,catalogue_selected,0.9142718262578444,307.13263456812825,3,3,0.73,0.0639303899149767,0.0397296075221731,286127.2043216367,38889.45810493232,0.1359167,0.0106516683043938,0.0025029802367383,
bc,900101,55,0.0473940525720119,3781718.0,True,catalogue_selected,0.9490510960290068,87.42875499752449,35,25,0.73,0.007686917839599,0.0021550678804374,9577.786981612016,951.1303663431436,0.09930586,0.0012545318775118,0.000134547012784,
bc,900101,60,0.17269903846372,19403816.0,True,catalogue_selected,0.8777689765307132,184.21296492154545,13,9,0.73,0.0437847163327304,0.0063195776004242,3836563.4616147536,485587.267430448,0.1265683,0.0111391034836514,0.0009043181411302,
bc,900101,65,0.1705363227914491,11302897.0,True,catalogue_selected,0.7252399116597912,33.53663292022108,1979,460,0.73,0.0847485170268495,0.0009020223615224,4657589.372579351,1159376.4496912952,0.248922,0.0186375387539008,0.0012800387722378,
bc,900101,66,0.1367961072908075,3957134.0,True,catalogue_selected,0.892738180742219,994.9974612426676,190,130,0.73,0.0504542906142193,0.0135386112593403,1727416.4274107155,211463.1264850932,0.1224158,0.0099918555000748,0.0010622211732493,
bc,900101,70,0.1606525053660716,2613361.0,True,catalogue_selected,0.7363011335097037,1068.0998922314843,3,1,0.73,0.133662280527601,0.000463732852186,3767457.971058217,737594.5881733365,0.1957804,0.025616228286644,0.0008075352760757,
bc,900101,71,0.2390334328203628,15906953.0,True,catalogue_selected,0.6939230988325693,30.85059009204141,280,37,0.73,0.049868978603431,1.571100624950392e-05,16114809.46961508,4301152.198147837,0.2669068,0.0250882239839028,0.0045424032492025,
