event_idx,h,d_hat,sigma_dL,z_true,host_galaxy_index,n_cand_no_bh,n_cand_with_bh,f_bar_z_true,f_k_z_true,L_cat_no_bh,B_num,D_tilde_phi
149,0.73,1.1864158780202598,0.08001138522821612,,-1,4,4,,,1.5157051666317984e-10,12066991.655700363,947092103.9967711
150,0.73,3.245295548739823,0.03785986286342569,,-1,0,0,,,0.0,52182073.37435578,947092103.9967711
151,0.73,2.2697980345541837,0.052074054855819514,,-1,0,0,,,0.0,26309939.260515753,947092103.9967711
153,0.73,3.6747809306963566,0.009644674229432777,,-1,0,0,,,0.0,22370381.339925107,947092103.9967711
154,0.73,0.4430128008907184,0.027887248368702496,,-1,0,0,,,0.0,2530253.313106884,947092103.9967711
155,0.73,4.9680877516978805,0.15452349663305512,,-1,0,0,,,0.0,15125119.120961888,947092103.9967711
156,0.73,1.230797490496962,0.05425440969550033,,-1,12973,12972,,,0.05536887219755065,15409324.649992105,947092103.9967711
157,0.73,2.6514881826274723,0.12762150977094144,,-1,119,119,,,1.2045027764894334e-05,35931226.196062855,947092103.9967711
158,0.73,2.2335082397013024,0.10265847404254799,,-1,0,0,,,0.0,51771739.76714327,947092103.9967711
159,0.73,2.1258906948818805,0.19817782142849158,,-1,4448,4448,,,0.0009396767152533143,23459645.41122723,947092103.9967711
160,0.73,2.4131862582139325,0.0025697905646350793,,-1,1,1,,,6.978838422961824e-06,47992721.36527556,947092103.9967711
163,0.73,2.995108598237838,0.038712461620471775,,-1,10,10,,,7.261046465208522e-06,56280923.97645027,947092103.9967711
164,0.73,2.1462381666760493,0.14242913521693798,,-1,0,0,,,0.0,56127663.57942241,947092103.9967711
165,0.73,1.564305926396452,0.02796301736102168,,-1,218,218,,,0.015266275222710072,32973908.981627654,947092103.9967711
166,0.73,3.5590100964347218,0.030426028967494263,,-1,5,5,,,3.3156708053775692e-09,42536838.964166254,947092103.9967711
167,0.73,2.975879536044597,0.14511830680743418,,-1,175,175,,,4.875312793112702e-06,56257354.89013587,947092103.9967711
168,0.73,1.6939095147717442,0.09013845348873199,,-1,22564,22557,,,0.01588019594263384,35516590.27542424,947092103.9967711
169,0.73,4.911813543119291,0.026909669139368843,,-1,0,0,,,0.0,17751779.433337443,947092103.9967711
170,0.73,2.9979831944658706,0.10432941259785995,,-1,71,71,,,6.938265993791162e-05,45712895.735029876,947092103.9967711
172,0.73,1.821802257291876,0.01522270262924754,,-1,191,191,,,0.0037728730094462337,44262364.32552795,947092103.9967711
173,0.73,1.2056269705738338,0.02742408546112158,,-1,360,360,,,0.03978916101662313,16144718.95389522,947092103.9967711
175,0.73,4.034402309585354,0.15885885845193556,,-1,0,0,,,0.0,36517914.87880658,947092103.9967711
176,0.73,1.1736945332299245,0.0008318026358840229,,-1,4,4,,,0.037854328352417616,12366974.76622548,947092103.9967711
177,0.73,1.2328415307983431,0.055136107107656776,,-1,0,0,,,0.0,26007891.46796905,947092103.9967711
178,0.73,3.2641726912581923,0.03308006899435066,,-1,2,2,,,2.4316412812122597e-09,33305763.955842312,947092103.9967711
179,0.73,2.6524802090704283,0.05558891068857169,,-1,87,87,,,3.906056405853645e-06,31486772.23154195,947092103.9967711
180,0.73,5.22079133862796,0.1581333732906789,,-1,0,0,,,0.0,4179373.1858407203,947092103.9967711
182,0.73,1.0732463422501186,0.04677460572457025,,-1,2372,2372,,,0.03153528924287842,12576489.731952833,947092103.9967711
183,0.73,1.115883052112716,0.0347280305064684,,-1,139,139,,,0.042534665998989224,17244004.95434984,947092103.9967711
184,0.73,1.9878676954131047,0.11646108887672182,,-1,1235,1235,,,0.00041435524073629455,6240745.021129212,947092103.9967711
185,0.73,2.9194911766175182,0.1572914356537167,,-1,116,116,,,2.6129545644548357e-05,43237420.98353989,947092103.9967711
186,0.73,2.258389732015932,0.001076779933903622,,-1,0,0,,,0.0,31690424.080127575,947092103.9967711
187,0.73,4.5056168604181215,0.06072439209534007,,-1,0,0,,,0.0,26347859.580365658,947092103.9967711
188,0.73,1.4801885327274682,0.14622123650151916,,-1,5868,5868,,,0.02870387882854645,24940280.87380122,947092103.9967711
189,0.73,1.673896691512364,0.06047726273991243,,-1,1895,1895,,,0.021495648933722498,35744620.515707254,947092103.9967711
192,0.73,1.589553972100439,0.008240467935524496,,-1,502,502,,,0.02927931164105961,35621709.73476441,947092103.9967711
193,0.73,1.9337449792636745,0.15570060449504267,,-1,8317,8310,,,0.004784455467318754,32781003.823976103,947092103.9967711
194,0.73,3.213569295546379,0.06657792989899655,,-1,206,206,,,9.702570516254883e-10,19869422.377179123,947092103.9967711
195,0.73,2.1214337575055167,0.10190603214712021,,-1,0,0,,,0.0,54579174.68231485,947092103.9967711
196,0.73,0.9666916185305025,0.0035784459428130255,,-1,538,538,,,0.05060502040308377,9281031.463330042,947092103.9967711
197,0.73,2.7644272241120342,0.02568509447390451,,-1,137,137,,,0.00053394792624629,51084801.72809605,947092103.9967711
198,0.73,1.9342118629445213,0.05613317158518927,,-1,423,423,,,0.004362259734633194,46347588.48722859,947092103.9967711
199,0.73,5.233755118338701,0.0007759355672506025,,-1,0,0,,,0.0,10665021.187463786,947092103.9967711
